"Tên chính","Tên khác","Tên khoa học","Họ","Mô tả","Bộ phận dùng","Nơi sống và thu hái","Thành phần hoá học","Tính vị, tác dụng","Công dụng, chỉ định và phối hợp","Liều dùng","Đơn thuốc"
"Bạch chỉ nam","","","","","Rễ, củ tươi","","","","(sơn ăn) ban trái, đậu mùa. Có thể dùng củ tươi mài với nước gạo hoặc nước cơm, bôi trị sơn ăn làm lở ngứa, chảy máu. Người thiếu máu, suy nhược cơ thể không nên dùng.","8-16g cho đến 40g, dạng thuốc sắc hoặc bột.","1. Phong nhiệt mần ngứa: Rễ Bạch chỉ nam, Ðơn kim, Liễu đỏ, mỗi vị 30g sắc uống.
2. Phong thấp đau nhức: Bạch chỉ nam, cành Liễu, Huyết đằng, mỗi vị 20g sắc uống.
3. Ðau bụng, kém tiêu, ỉa chảy: Bạch chỉ nam 20g, vỏ Quít 12g, Hậu phác nam 8g sắc uống."
"Bạch cổ đinh","Ða quả tán phòng","Polycarpaea corymbosa (L) Lam","Cẩm chướng - Caryophyllaceae","Cây thảo cao 10-40cm, có nhánh nhiều hay ít, nhẵn hay có lông len màu trắng. Lá hình dải, nhọn, có lòng cứng thành mũi nhọn ngắn ở đầu, nhẵn hay hơi có lông, dài 5-20mm, mọc đối hay mọc vòng. Hoa dạng vẩy, màu trắng hay hơi hung, thành ngù dày hay thưa.","Toàn cây - Herba Polycarpaeae, thường gọi là Bạch cổ đinh.","Cây mọc ở Ấn Độ, Trung Quốc và cũng phổ biến ở những nơi có cát khắp nước ta: Hải Hưng, Nam Hà, Ninh Bình, Thanh Hoá... đến Bình Thuận, Minh Hải.","","Làm dịu và săn da.","Ở Ấn Độ, người ta dùng toàn cây uống trong và đắp ngoài, làm thuốc chữa vết độc do rắn cắn và các loài bò sát khác cắn. Lá giã ra thành bột dùng nguội hay nóng như thuốc đắp trị nhọt và sưng viêm; dùng trị vết cắn do động vật và dùng với mật đường thành dạng thuốc viên trị vàng da.","",""
"Bạch đàn chanh","Khuynh diệp sả","Eucalyptus maculata Hool, var, citriodora (Hk, Bailey (E. citriolora Hook)","Sim - Myrtaceae","Cây gỗ to, nhánh non có cạnh. Lá có mùi thơm của Sả, Chanh. Lá ở nhánh non, có phiến, có lông, thon, từ từ hẹp cong thành hình lưỡi liềm ở nhánh trưởng thành, màu lam tươi, dài đến 17cm, chùm hoa ở nách lá, lá đài rụng thành chóp, nhị nhiều. Quả nang, nằm trong đài tồn tại, chia 4 mảnh.","Tinh dầu - Oleum Eucalypti.","Gốc ở úc châu, được nhập trồng.","Lá chứa 0,5-2% tinh dầu. Tinh dầu chứa citronelal 60-65%; citronelol 15-20%, alcol bậc I quy ra geraniol 11.14%, geranial và các thành phần khác 2%.","","Tinh dầu có mùi thơm dễ chịu. Dùng làm thuốc tẩy uế. Tinh dầu Bạch đàn nói chung được dùng làm thuốc sát khuẩn tại chỗ đặc biệt trong điều trị các bệnh nhiễm khuẩn đường hô hấp trên và trong một số bệnh ngoài da. Trộn lẫn với một lượng tương đương dầu Ô liu, dùng làm thuốc gây sung huyết da để điều trị thấp khớp. Còn dùng làm thuốc trị bỏng, làm thuốc gây long đờm trong trường hợp viêm phế quản mạn tính và hen.","",""
"Bạch đàn đỏ","","Eucalyptus robusta Smith","Sim - Myrtaceae","Cây gỗ thường xanh, cao 5-15m, có thể đến 30m, vỏ đo đỏ, có nhựa. Lá ít thơm, ở nhánh non, phiến lá xoan, ở nhánh trưởng thành, phiến thon hẹp cong cong, gốc hơi không cân xứng. Cụm hoa là tán, có khi chuỳ; hoa vàng vàng, nhị nhiều. Quả hình chén dài dài; nở thành 4 mảnh. Mùa hoa tháng 7-10.","Lá - Folium Eucalypti.","Gốc ở Úc châu, được trồng để lấy gỗ và lấy bóng mát. Có thể thu hái lá quanh năm, dùng tươi hay phơi khô trong râm.","Tinh dầu chứa cineol, pinen, camphen, các aldehyd valeric, butyric...","Vị hơi cay, hơi đắng, tính bình, có mùi thơm; có tác dụng tiêu viêm, kháng sinh, trừ mủ và chống ngứa.","Ở Trung Quốc được dùng trị: 1. Cảm lạnh, cúm, viêm não truyền nhiễm, viêm não B; 2. Viêm phần trên đường hô hấp, viêm hầu; 3. Viêm khí quản, viêm phổi nang; 4. Viêm bể thận cấp và mạn; viêm thận; 5. Viêm ruột, bệnh do nấm Candida; 6. Sốt rét; 7. Bệnh giun chỉ. Dùng ngoài trị bỏng, viêm mũi, viêm tế bào, viêm vú, cụm nhọt, chốc lở, viêm quầng, mày đay, eczema, nấm tóc, viêm âm đạo do nấm Candida, và sát khuẩn da.","10-15g dạng thuốc sắc. Dùng ngoài, nấu nước rửa. Bạch đàn đỏ gây kích thích dạ dày và có thể gây rối loạn cho gan, cần thêm đường để giảm bớt kích thích.",""
"Bạch đàn hương","","Premna sp.","Cỏ roi ngựa - Verbenaceae","Cây gỗ nhỏ (có thể có kích thước lớn). Nhánh già màu xám vàng; các nhánh non tròn tròn, không lông, có nhiều khía rãnh. Lá mọc đối; phiến lá hình trái xoan hay bầu dục, chóp lá nhọn, gốc tù, tròn, ít khi hình tim, mỏng, mặt trên lục vàng, mặt dưới nhạt màu hơn, dài 16-18cm, rộng 11-13cm; cuống lá mảnh, dài 5-9cm, gân phụ 6 đôi, gân nhỏ song song, mép lá có răng thô và to. Cây có hoa màu trắng, qu? b?ng h?t lạc, khi chín có màu đen. Lá cây lúc non và khi khô đều thơm. Thân cây có lõi vàng, thơm mùi xá xị. Thường rụng lá vào mùa khô.","Lá - Folium Premnae.","Cây mọc ở rừng núi Cấm (tỉnh An Giang). Thu hái lá trước khi rụng, phơi khô cất dành. Muốn trồng, người ta chặt rễ giâm cho lên chồi mà trồng.","","Lá cây có vị the, tính ấm, mùi thơm, có tác dụng phát tán mồ hôi, giải độc, thông hơi, trừ thấp.","Thường dùng trị ho, giải các uế khí, ẩm thấp. Cũng dùng chữa đau khớp, nhức xương, làm mạnh gân, nhất là trị đau cột sống.","","Hội Y học dân tộc tỉnh An Giang đã sưu tầm bài thuốc tâm đắc về rượu thời khí dùng trị thiên thời, dịch tả, hoắc loạn, đau bụng ói mửa, tiêu chảy, chậm tiêu, uất hơi, sính bụng, trúng gió. Thành phần gồm có: Củ Bồ bồ (nướng), cây ớt hiểm, củ Cỏ cú (sao), lá Hoắc hương, củ Riễng, vỏ Quít (lâu năm). Giáng hương, củ Sả, Ðại hồi, Quế khâu, Cam thảo núi, Bạch đàn hương. Kinh giới (bông), Bạc hà (lá) và Ngải đen, các vị phân lượng bằng nhau, đều 10g, tán đập dập, ngâm rượu 1 tuần, lấy ra dùng, mỗi lần uống 1ly nhỏ, ngày uống nhiều lần. Nếu không tiện uống rượu thì tán ra bột, mỗi lần uống tới hai muỗng cà phê."
"Bạch đàn lá liễu","Khuynh diệp thò","Eucalyptus exserta F.v Muell.","Sim - Myrtaceae","Cây gỗ trung bình, vỏ màu tro nâu, nhánh có cạnh, lá ở nhánh trưởng thành hình lưỡi liềm cong, dài đến 15cm có đốm. Cụm hoa tán ở nách lá, 2-7 hoa; cuống hoa ngắn hơn cuống lá; nắp hoa hình chuỳ cao hơn phần bầu hoa; nhị nhiều. Quả nang 3-5 mảnh; hột có cánh, đen đen. Hoa tháng 2-3.","Lá và tinh dầu - Folium et Oleum Eucalypti.","Gốc ở châu úc, được nhập trồng.","Lá chứa 0,65% tinh dầu. Tinh dầu chứa 30% cineol, 8% pinen, 10% pinocarveol, pinocarvon. Sau khi cất tinh dầu để chuyển thành màu đỏ nhạt và vẩn đục, tạo thành các hợp chất có nhóm carbonyl và carboxyl, cho mùi khó chịu.","","Nhân dân ta dùng lá Bạch đàn để làm nước uống, làm thuốc bổ, chữa ho, xông mũi, chữa cảm cúm. Qua nghiên cứu thì chất kháng khuẩn lấy từ lá có tác dụng đối với nhiều loại vi khuẩn gram + như cầu khuẩn, vi khuẩn bạch hầu và một số loài vi khuẩn đường ruột. Chất bay hơi của tinh dầu cũng có tác dụng diệt khuẩn mạnh (đối với các loài Bacillus, Staphyloccus, Candida albicans và Shigella flexneri). Rõ ràng là nồi xông phổ biến trong nhân dân vừa có tác dụng làm thoát mồ hôi, giảm sốt, giải độc, còn có tác dụng diệt vi khuẩn đường hô hấp và ngoài da.","",""
"Bạch đàn nam","","Macaranga tanaria (L.) Muel. - Arg.","Thầu dầu - Eaphorbiaceae","Cây nhỡ cao 6m. Lá có phiến hình lọng, nguyên, hình trái xoan hay tam giác, vào cỡ 11 x 9cm (có khi dài đến 50cm), mép nguyên hay có răng, có nhiều lông lúc non, gân từ nơi gắn 8, gân phụ 6-7 cặp; cuống dài 5-27cm. Chuỳ hoa đực cao 15-30cm, ở nách lá gồm nhiều ngù, có lông, hoa đực nhỏ, 3-6 nhị; cụm hoa cái ngắn, không phân nhánh, có hoa về phía ngọn. Quả nang 2-3 mảnh vỏ, rộng đến 1cm, phủ các tuyến màu cam, hạt to 5cm, ráp.","Rễ - Radix Macarangae.","Cây của vùng Viễn đông tới Trung Quốc. Ở nước ta, cây mọc trong các lùm bụi, rừng bình nguyên ở nhiều nơi, thường có nhiều ở các tỉnh phía Nam.","Vỏ chứa tanin.","","Rễ được sử dụng ở Malaixia làm thuốc trị lỵ, ở Philippin dùng sắc nước uống trị ho ra máu. Vỏ và cả lá rụng dùng chế rượu uống. Người ta còn dùng bột của vỏ cây và lá để kết tủa các albumin khi nấu mật mía, có thể người ta còn cho thêm vào những gia đoạn khác nhau cả vỏ và lá vào vại kín đựng mật để làm đông mật. ở Nam Sumatra, người ta cho quả vào dầu Cọ khi đang nấu để làm cho đường Cọ được trắng hơn.","",""
"Bạch đàn trắng","","Eucalyptus camaldulensis Dehnhart","Sim - Myrtaceae","Cây gỗ cao 30-50m; thân thẳng, đường kính tới 1,5m, vỏ già xám nâu, tróc thành mảng vỏ, nhánh non vuông. Lá có phiến hình lưỡi liềm, mốc mốc, dài 12-22cm; cuống có cạnh, dài 1,5-2cm. Tán hoa có cuống dài 1,5cm, chóp cao; nhị nhiều. Quả nang 4 mảnh, rộng 5-8mm, hạt nhỏ.","Gôm và tinh dầu - Gummis et Oleum Eucalypti.","Cùng gốc ở Úc châu, chịu được phèn nên trồng tốt ở nhiều nơi vùng đồng bằng sông Cửu Long.","Cây cho chất gôm, lá chứa tinh dầu.","","Gôm có thể dùng chữa ỉa chảy, họng bị đau, dùng làm chất săn trong nha khoa và điều trị vết thương. Khi áp dụng làm chất gây săn trong chảy máu hoặc trường hợp thanh quản bị đau, gôm được trộn lẫn với một lượng tương đương tinh bột. Gôm còn được dùng ở dạng thuốc đạn, 0,32g gôm trong dầu Cacao. Tinh dầu dùng trị lỵ mạn tính.","",""
"Bạch đàn xanh","Bạch đàn tròn","Eucalyptus globulus Labill.","Sim - Myrtaceae","Cây gỗ lớn vỏ nhẵn, màu nhợt, nhánh vuông. Lá ở chồi non mọc đối, không cuống, gốc hình tim, màu mốc, xếp ngang. Lá ở nhánh già mọc so le, dài 15-30cm, có cuống phiến dài và hẹp, hình lưỡi liềm, xếp đứng theo thân và có hai mặt giống nhau. Hoa ở nách lá, có cuống ngắn, dài 4 cạnh, mốc mốc, hình tháp vuông, nhị dài 1,5cm. Quả hình bông vụ, thuộc loại quả nang to 2,5cm, mang dài hoa tồn tại và chứa 2 loại hạt: loại đen sinh sản, loại nâu không sinh sản.","Lá và tinh dầu - Folium et Oleum Eucalypti.","Cây của châu úc được nhập trồng làm cây bóng mát, lấy lá. Thu hái quanh năm. Người ta cũng dùng cất tinh dầu.","Lá Bạch đàn xanh chứa tinh dầu, chất vô cơ, tanin, chất nhựa, chất đắng, acid phenol (acid galic, acid cafeic), hợp chất flavonoid là heterosid của querceton, eucalyptin, heterosid phenolic. Hàm lượng tinh dầu là 1-3%; thành phần chính của tinh dầu là cineol, (hay eucalyptol) 70-80%, còn có (- pinen, piperiton, phellandren, butyraldehyd, capronaldehyd.","Lá Bạch đàn xanh có tác dụng hạ nhiệt, bổ và làm se do có tanin, cầm máu yếu, diệt ký sinh trùng. Tinh dầu được hấp thụ qua da, ống tiêu hoá và mô tế bào dưới da, dễ bài tiết, làm long đờm, diệt vi khuẩn, diệt ký sinh, sát trùng... chủ yếu là thuốc nhựa thơm. Dùng ở trong nó có tác dụng sát trùng, chủ yếu sát trùng đường hô hấp và đường niệu, làm chất thơm, trừ thấp, trị giun và kích thích. Dùng ngoài, có tính chất diệt vi khuẩn, diệt ký sinh, làm liền sẹo, đề phòng bệnh nhiễm trùng và bệnh về phổi và trừ muỗi.","Dùng trong chữa 1. Bệnh đường hô hấp, viêm phế quản cấp và mạn, cảm cúm, ho lao phổi, hen suyễn, ho; 2. Bệnh đường tiết niệu, bệnh trực khuẩn coli, đái tháo; 3. Một số chứng bệnh và sốt như sốt rét, rốt ricketsia, sởi; 4. Thấp khớp, đau dây thần kinh; 5. Ký sinh trùng đường ruột; 6. Ðau nửa đầu, suy nhược. Dùng ngoài, đắp lên vết thương, bỏng, trị đau phổi, cúm, viêm xoang, bệnh chấy rận và trừ muỗi.","Ðể dùng trong: Hãm uống 3-4 lá trong 1 ly nước, đun sôi vài phút và hãm 10 phút. Ngày 3-5 ly. Bột, lá làm thành viên 0,5g dùng 6-10 viên ngày. Cồn thuốc 1/5 ngày 1-10 giọt. Có thể dùng tinh dầu, dung dịch cồn... Ðể dùng ngoài, có thể hãm xông, xoa hay băng bó.",""
"Bạch đậu khấu","","Amomum krervanh Pierre (A.Kravanh-Pierre ex Gagnep.)","Gừng - Zingiberaceae","Cây thảo cao 2-3m. Lá xếp 2 dẫy, hình trái xoan hay ngọn giáo, dài tới 60cm, rộng tới 12cm, nhưng thường chỉ dài 35cm, rộng 7-8 cm, lá có rạch, có điểm tuyến, hơi có mạng; cuống lá rất ngắn, có cánh rộng. Cán hoa 1-2 cái, ở gốc thân, có vẩy lợp, hình tam giác, có lông vàng kim ở ngoài. Cụm hoa hình trụ, hơi hình nón, dài 8-11cm, rộng 4-5cm, lá bắc vàng rơm, lợp khít nhau, có lông ở mặt ngoài, dài 4cm, rộng 15-17mm. Hoa nhỏ, màu vàng vàng, chỉ để lộ cánh môi ra ngoài các lá bắc; ống tràng dài bằng đài có các thuỳ màu trăng trắng chỉ dài bằng nửa cánh môi; cánh môi hình bầu dục, nguyên, vàng ở giữa, hơi vàng ở mép. Quả có lông vàng kim, rồi hoá nhẵn, hình cầu, đường kính 16mm, có 5-6 cạnh hơi rô với 9 rạch. Hạt 5-9, hình cầu, hơi dẹp, đáy lõm. Hoa tháng 5; quả tháng 8.","Quả- Fructus Amomi, thường gọi là Ðậu khấu.","Loài đặc hữu của Campuchia, Thái Lan; cũng gặp ở vùng núi Thất Sơn của An Giang. Thu hái quả ở những cây già (3 năm), khi quả từ màu xanh chuyển sang màu vàng xanh thì hái, đem về phơi hay sấy khô, loại bỏ cuống rồi xông diêm sinh (lưu huỳnh) cho vỏ trắng ra là được. Khi dùng bóc vỏ lấy hạt.","Hạt chứa 2,4% tinh dầu. Thành phần chủ yếu của tinh dầu là d-borneol và d-camphor.","Vị cay, mùi thơm, tính ấm; có tác dụng ôn tỳ, chỉ tả, hành khí, tiêu trệ, giải độc rượu.","Thường dùng trị bị nhiễm lạnh đau bụng, khí trệ, bụng đầy trướng, nôn oẹ, hoặc sáng ăn tối nôn, ăn không tiêu, đau bụng ỉa chảy, hay ợ hơi, trúng độc rượu.","Ngày dùng 4-8 g, dạng thuốc sắc hoặc bột.","1. Lợm giọng, buồn nôn: Nhấm hạt Ðậu khấu, nuốt nước.
2. Trẻ con bú vào, trớ ra: Dùng 14 nhân Ðậu khấu, 14 nhân Sa nhân, 8 g Cam thảo, tán nhỏ, xát vào miệng."
