"chuong_so","tieu_de_chuong","ten_bai_thuoc","chua_tri","lieu_luong_cach_dung","cong_hieu","chu_y","ghi_chu","doi_tuong_phu_hop","luu_y","cong_dung_khac"
1,"Chữa Trị Sốt Cao, Buồn Phiền Khát Nước","Cháo Lá Tre, Thạch Cao","Sốt cao (nhiệt độ cơ thể trên 39°C).","Dùng 200g lá tre tươi, rửa sạch, 100g thạch cao sống, cho vào 500ml nước sắc kỹ lấy nước bỏ bã. Cho 100g gạo tẻ, dùng nước thuốc vừa sắc, nấu thành cháo. Mỗi ngày ăn 2-3 lần.","Hạ hỏa, giải khát, giải phiền. Bổ phổi.","Khi nào cơn sốt lui thì ngừng uống thuốc.","","","",""
1,"Chữa Trị Sốt Cao, Buồn Phiền Khát Nước","Nước Giải Khát Ngũ Vị","Sốt cao.","Nước quả lê, nước mã thầy, nước ngó sen, nước rễ lau sậy, nước mạch môn đông (hoặc nước mía), lượng các thứ bằng nhau, quấy đều, để lạnh uống.","Thanh nhiệt, khỏi khát.","","","","",""
1,"Chữa Trị Sốt Cao, Buồn Phiền Khát Nước","Rau Gan Chó, Đường Phèn","Bệnh nhiệt và cảm cúm sốt cao.","Mỗi lần dùng 30-60g rau gan chó, đường phèn vừa đủ. Sắc lấy nước uống, thay nước chè.","Điều trị liên tục sẽ giúp làm lui cơn sốt.","","","","",""
1,"Chữa Trị Sốt Cao, Buồn Phiền Khát Nước","Sừng Sơn Dương Hãm Với Cây Câu Đằng","Sốt cao.","Sừng sơn dương 30g, cây câu đằng (cây song, cây mây) 6-10g. Cho nước vào sắc lấy nước uống.","Thanh nhiệt, hết buồn phiền.","","","","",""
1,"Chữa Trị Sốt Cao, Buồn Phiền Khát Nước","Bột Sừng Trâu","Sốt cao.","Bột sừng trâu sắc đặc lấy nước uống. Uống mỗi ngày 1.5-3g, mỗi ngày uống 2 lần.","Thanh nhiệt, cắt cơn ho.","","","","",""
1,"Chữa Trị Sốt Cao, Buồn Phiền Khát Nước","Bột Ngọc Trai Hòa Sunfat Natri","Sốt cao.","Dùng 0.3g bột ngọc trai, nghiền nhỏ, hãm vào 1 bát nước sôi, sau đó cho 10g sunfat natri vào. Uống hết trong 1 lần.","Thanh nhiệt, sinh huyết.","Phụ nữ có thai không được dùng.","","","",""
1,"Chữa Trị Sốt Cao, Buồn Phiền Khát Nước","Tằm, Xác Ve, Ngân Hoa","Sốt cao.","Dùng 9g con tằm, 3g xác ve nghiền thành bột. Lấy 15g ngân hoa, sắc lấy nước. Uống bột tằm, xác ve với nước ngân hoa. Nếu uống với nước sôi thì dùng 10g tằm, 12g xác ve.","Thanh nhiệt, mát phổi.","","","","",""
1,"Chữa Trị Sốt Cao, Buồn Phiền Khát Nước","Cá Chuối","Sốt cao.","Cá chuối làm sạch, bỏ mật, nấu chín ăn.","Thanh nhiệt, khỏi háo nước.","","","","",""
1,"Chữa Trị Sốt Cao, Buồn Phiền Khát Nước","Mướp Đắng, Thịt Lợn Nạc","Cảm nắng, khát nước.","Mỗi lần dùng 200g mướp đắng tươi, bỏ hột, thái miếng, thịt lợn nạc 100g, thái miếng, cho nước vừa đủ, ninh nhừ, cho vào một ít muối. Ăn thịt, mướp đắng, uống nước.","Giảm nhiệt hạ sốt, tăng cường khí huyết, hết cơn khát.","","","","",""
1,"Chữa Trị Sốt Cao, Buồn Phiền Khát Nước","Mướp Hầm Thịt Nạc","Cảm nóng, khát nước.","Mỗi lần dùng 250g mướp cắt khúc, 200g thịt lợn nạc, thái nhỏ. Cho nước vừa đủ, ninh nhừ, cho ít muối, ăn vào 2 bữa cơm.","Thanh nhiệt, nhuận tràng, giải khát.","","","","",""
1,"Chữa Trị Sốt Cao, Buồn Phiền Khát Nước","Đường Trắng, Bột Củ Ấu","Sốt nóng, háo nước.","Mỗi lần dùng 30-50g bột củ ấu, đường trắng vừa đủ. Nấu thành cháo bột, ăn hết 1 lần.","Giải nhiệt, hết cơn khát.","","","","",""
1,"Chữa Trị Sốt Cao, Buồn Phiền Khát Nước","Bí Đao, Thịt Lợn Nạc","Sốt nóng, háo nước.","Mỗi lần dùng 1 khoanh bí đao (khoảng 250g) gọt bỏ vỏ ngoài, thái lát, thịt lợn nạc 100g thái miếng. Ninh nhừ, cho vào ít muối ăn. Ăn cái, uống nước.","Giải nhiệt, sinh huyết, bổ tỳ, khỏi háo nước.","","","","",""
2,"Chữa Sốt Cao Sợ Gió","Bột Con Trai Biển, Câu Đằng","Sốt cao, sợ gió.","Mỗi ngày dùng 10g bột con trai biển (sao khô tán bột), 15g câu đằng, sắc lấy nước uống.","","","","","",""
2,"Chữa Sốt Cao Sợ Gió","Mật Gấu","Sốt cao, sợ gió.","Dùng 5ml mật gấu hòa với nước sôi uống.","","","","","",""
2,"Chữa Sốt Cao Sợ Gió","Giun Đất, Đường Trắng","Sốt cao, sợ gió.","Giun đất tươi, rửa sạch, cho vào ngâm với đường trắng (hoặc muối), lọc lấy nước uống.","","","","","",""
